network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id
SNTL,ID,couch summit ,Lower Little Smoky Creek (170501130204),2021-10-01,2023-05-07,43.52,-114.8,2073,Camas,1306
SNTL,MT,chicago ridge ,Rock Creek (170102131301),2022-08-01,2023-05-07,48.06,-115.7,1768,Sanders,1312
SNTL,MT,stryker basin ,West Fork Swift Creek (170102100501),2022-09-01,2022-09-01,48.68,-114.66,1876,Flathead,1311
SNTL,NV,lamoille upper ,Thomas Creek-Lamoille Creek (160401010607),2022-08-01,2023-05-07,40.6,-115.38,2741,Elko,1310
SNTL,OR,fifteenmile ,Dog River (170701050503),2022-09-01,2023-05-07,45.35,-121.53,1820,Hood River,1314
SNTL,UT,atwater ,Headwaters Little Cottonwood Canyon (160202040202),2022-08-01,2023-05-07,40.59,-111.64,2668,Salt Lake,1308
SNTL,UT,rockwood gs ,Outlet Clear Creek (160300030105),2022-09-01,2023-05-07,38.67,-112.33,2619,Sevier,1309
SNTL,AK,creamers field ,Chena River (190803060907),2021-08-01,2023-05-07,64.87,-147.74,134,Fairbanks North Star,1302
SNTL,AK,dahl creek ,Dahl Creek (190503021508),2021-09-01,2023-05-07,66.95,-156.9,79,Northwest Arctic,1303
SNTL,AK,paradise hill ,190803010807-Black Hills (190803010807),2021-07-01,2023-05-07,62.83,-141.41,613,Southeast Fairbanks,1301
SNTL,ID,fish ck ,Upper Fish Creek (170402210401),2021-09-01,2023-05-07,43.56,-113.72,1929,Blaine,1305
SNTL,ID,pebble creek ,Pebble Creek (170402080206),2021-06-01,2023-05-07,42.77,-112.11,1985,Caribou,1299
SNTL,NM,taos pueblo ,La Junta Creek-Rio Pueblo de Taos (130201010602),2021-09-01,2023-05-07,36.54,-105.36,3359,Colfax,1307
SNTL,UT,gold basin ,Upper Pack Creek (140300050401),2021-09-01,2023-05-07,38.47,-109.26,3071,San Juan,1304
SNTL,UT,powder mountain ,Davenport Creek (160102030102),2021-07-01,2023-05-07,41.37,-111.77,2592,Cache,1300
SNTL,AK,chena lakes ,190803060901 (190803060901),2020-08-01,2023-05-07,64.76,-147.22,152,Fairbanks North Star,1260
SNTL,UT,wolf creek peak ,Mill Hollow-South Fork Provo River (160202030104),2020-08-01,2023-05-07,40.48,-111.04,2986,Wasatch,1164
SNTL,WA,mt. tebo ,Upper South Fork Skokomish River (171100170101),2020-07-01,2023-05-07,47.46,-123.41,1031,Mason,1126
SNTL,AK,frostbite bottom ,Fishhook Creek-Little Susitna River (190205051202),2019-02-01,2023-05-07,61.75,-149.27,823,Matanuska-susitna,641
SNTL,AK,mcgrath ,Town of McGrath-Kuskokwim River (190304050502),2019-08-01,2023-05-07,62.95,-155.61,104,Yukon-koyukuk,785
SNTL,UT,parleys upper ,Parleys Creek (160202040302),2019-08-01,2023-05-07,40.7,-111.61,2546,Salt Lake,856
SNTL,AK,east palmer ,Outlet Matanuska River (190204020709),2018-07-01,2023-05-07,61.6,-149.1,70,Matanuska-susitna,953
SNTL,AK,galena ak ,Louden Slough-Yukon River (190902051104),2018-08-01,2023-05-07,64.7,-156.71,125,Yukon-koyukuk,429
SNTL,AK,gulkana river ,Boulder Lake-Gulkana River (190201020604),2018-06-01,2023-05-07,62.41,-145.38,558,Valdez-cordova,2222
SNTL,AK,spring creek ,Outlet Matanuska River (190204020709),2018-06-01,2023-05-07,61.66,-149.13,177,Matanuska-susitna,2044
SNTL,MT,jl meadow ,Dad Creek-Medicine Lodge Creek (100200011202),2017-10-01,2023-05-07,44.78,-113.12,2682,Beaverhead,1287
SNTL,NV,oneil creek ,Pole Creek (170402130106),2018-06-01,2023-05-07,41.86,-115.08,1987,Elko,1272
SNTL,AK,flower mountain ,Porcupine Creek (190103031206),2017-08-01,2023-05-07,59.4,-136.28,765,Haines,1285
SNTL,CA,fredonyer peak ,Lower Dry Lake-Frontal Eagle Lake (180800030304),2016-10-01,2023-05-07,40.69,-120.61,2197,Lassen,1277
SNTL,MT,slagamelt lakes ,Big Swamp Creek (100200040308),2017-09-01,2023-05-07,45.37,-113.72,2627,Beaverhead,1286
SNTL,UT,bobs hollow ,North Fork Chalk Creek (160300051401),2016-10-01,2023-05-07,38.95,-112.15,2840,Millard,1278
